Marine Recreational Information Program Query Results

Your Query Parameters:

·Query: MRIP CATCH TIME SERIES

·Year: 1981 - 2018

·Wave: BY WAVE

·Geographic Area: NORTH ATLANTIC BY STATE

·Species: SUMMER FLOUNDER                                                                                                                                                                                         

·Fishing Mode: ALL MODES BY MODE

·Fishing Area: ALL AREAS BY AREA

·Type of Catch: TOTAL CATCH (TYPE A + B1 + B2)

Information:

·NUMBERS OF FISH

PSE (proportional standard error) is automatically included in all outputs. It expresses the standard error of an estimate as a percentage of the estimate and is a

measure of precision.

The following cases have been excluded from results below due to insufficient sample sizes:

CT-2013-CHARTER                           ,RI-2013-CHARTER                           ,CT-2014-CHARTER                           ,CT-2015-CHARTER                           ,

Estimates replaced by a * indicates all estimates excluded.

Estimates including these cases are available by running this query at the annual level.

"Estimate Status","Year","Wave","State","Common Name","Fishing Mode","Fishing Area","Total Catch (A+B1+B2)","PSE"
"FINAL",1986,"JULY/AUGUST","CONNECTICUT","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",89280,72.9
"FINAL",1986,"JULY/AUGUST","CONNECTICUT","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",298441,49.9
"FINAL",1986,"JULY/AUGUST","MASSACHUSETTS","SUMMER FLOUNDER","SHORE","INLAND",34603,80.1
"FINAL",1986,"JULY/AUGUST","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",2441,101.7
"FINAL",1986,"JULY/AUGUST","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)",1675,100.6
"FINAL",1986,"JULY/AUGUST","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",118668,75.2
"FINAL",1986,"JULY/AUGUST","NEW HAMPSHIRE","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",1181,73.9
"FINAL",1986,"JULY/AUGUST","RHODE ISLAND","SUMMER FLOUNDER","SHORE","OCEAN (<= 3 MI)",79148,83.4
"FINAL",1986,"JULY/AUGUST","RHODE ISLAND","SUMMER FLOUNDER","SHORE","INLAND",89033,76.2
"FINAL",1986,"JULY/AUGUST","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",863956,72.4
"FINAL",1986,"JULY/AUGUST","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",80308,101.2
"FINAL",1986,"SEPTEMBER/OCTOBER","CONNECTICUT","SUMMER FLOUNDER","SHORE","INLAND",21678,92
"FINAL",1986,"SEPTEMBER/OCTOBER","CONNECTICUT","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)",1524,105.4
"FINAL",1986,"SEPTEMBER/OCTOBER","CONNECTICUT","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",62879,64.9
"FINAL",1986,"SEPTEMBER/OCTOBER","MASSACHUSETTS","SUMMER FLOUNDER","SHORE","OCEAN (<= 3 MI)",37934,52
"FINAL",1986,"SEPTEMBER/OCTOBER","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",18689,71.6
